settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
ALIMENTARE;NON SPECIFICATA;CSO;COLOMBO CRISTOFORO;10;6;55;40;0;95;5114;ACCESSO ESTERNO;048;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;COLOMBO CRISTOFORO;1;6;34;0;0;34;5114;ACCESSO ESTERNO;055;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA NUOVA;32;1;17;0;0;17;1044;ACCESSO ESTERNO;088;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA NUOVA;34;1;47;9;0;56;1044;ACCESSO ESTERNO;088;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;103;1;24;10;0;34;402;ACCESSO ESTERNO;038;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;128;1;100;0;0;100;402;NON SPECIFICATO;039;NON SPECIFICATO;ROSTICCERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;1;1;28;1;0;29;402;ACCESSO ESTERNO;394;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;25;1;30;10;0;40;402;ACCESSO ESTERNO;327;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;44;1;22;43;0;65;402;NON SPECIFICATO;270;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;51;1;24;0;0;24;402;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;57;1;30;90;0;120;402;ACCESSO ESTERNO;115;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA ROMANA;94;1;10;0;0;10;402;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;OGGETTISTICA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA TICINESE;S.N.C.;1;11;89;0;100;541;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA VIGENTINA;30;1;25;30;0;55;4026;ACCESSO ESTERNO;119;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA VIGENTINA;32;1;24;21;0;45;4026;ACCESSO ESTERNO;119;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA VITTORIA;42;1;50;0;0;50;3016;ACCESSO ESTERNO;033;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;CSO;DI PORTA VITTORIA;46;1;27;0;0;27;3016;NON SPECIFICATO;033;NON SPECIFICATO;ROSTICCERIA
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;117;1;15;0;0;15;1010;NON SPECIFICATO;004;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;12;1;11;107;0;118;1010;NON SPECIFICATO;244;NON SPECIFICATO;TORREFAZIONE
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;39;1;16;0;0;16;1010;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;49;1;30;0;0;30;1010;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;55;1;20;65;0;85;1010;NON SPECIFICATO;171;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;75;1;32;3;0;35;1010;ACCESSO ESTERNO;171;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;GARIBALDI GIUSEPPE;93;1;30;0;0;30;1010;NON SPECIFICATO;081;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;GENOVA;15;1;23;0;0;23;5164;ACCESSO ESTERNO;217;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;CSO;GENOVA;16;1;25;0;0;25;5164;ACCESSO ESTERNO;218;NON SPECIFICATO;NON UTILIZZARE EX MACELL
ALIMENTARE;NON SPECIFICATA;CSO;GENOVA;19;1;65;101;0;166;5164;ACCESSO ESTERNO;132;NON SPECIFICATO;ENOTECA E BEVANDE
